Branch,Address,Tel
가재울점,서울시 서대문구 북가좌동 478 DMC래미안e편한세상 201동 13호 ,02-3152-5849 
남양주다산중앙점,경기도 남양주시 다산순환로 397-71(다산동) ,031-558-5849 
묵동점,"서울시 중랑구 공릉로32, B07호(묵동) ",02-975-5849 
안양호계점,경기도 안양시 동안구 평촌대로 117번길 23(호계동) ,031-387-1200 
안양1번가점,경기도 안양시 만안구 안양동 674-94 ,031-464-5849 
응암오거리점,서울시 은평구 응암동 592-72 ,02-302-4328 
봉화산점,서울시 중랑구 신내동 646번지 금강리빙스텔 136호 ,02-3422-4788 
상암디지털역점,서울시 마포구 상암동 2-88 ,02-6677-5849 
개봉역점,서울시 구로구 개봉동 179-24 ,02-2666-5849 
공릉역점,서울시 노원구 공릉동 392-2 ,02-978-5849 
목동점,서울시 강서구 화곡동 779-2번지 ,02-2648-5849 
광명사거리역점,경기도 광명시 광명동 158-799 ,02-2612-3989 
정자느티마을점,경기도 성남시 분당구 정자동 63-1 ,031-711-9882 
세종새롬점,세종시 새롬중앙로34 크리스마스빌딩 1층 ,044-868-1321 
하남미사점,경기도 하남시 미사강변북로 30번길 154(망월동) ,031-791-5844 
수유역점,서울시 강북구 수유동 192-51 ,02-908-5999 
불광점,서울시 은평구 불광로 111(불광동) ,02-354-5849 
하남신장점,경기도 하남시 신장로 107(신장동) ,031-794-5849 
등촌역점,서울시 강서구 등촌동 506-34 ,02-2061-5849 
중계브라운스톤점,서울시 노원구 동일로 203 가길 29 브라운스톤 140호(중계동) ,02-971-5849 
까치산점,서울시 강서구 화곡동 898-16 ,02-2608-5849 
구리갈매지구점,경기도 구리시 갈매중앙로 55번길 96-1(갈매동) ,031-573-5849 
연신내역점,서울시 은평구 갈현동 400-1 ,02-355-5849 
미금역점,경기도 성남시 분당구 금곡동 147번지 135호 ,031-714-9592 
가양역점,서울시 강서구 등촌동 63-12 ,02-2668-5849 
다산지금점,경기도 남양주시 다산중앙로82번안길 114(다산동) ,031-566-6254 
창동역점,서울시 도봉구 창동 12-2 ,02-900-5849 
은행사거리점,서울시 노원구 중계동 359-20(태경빌딩 1층) ,02-936-8020 
부천범박점,경기도 부천시 소사구 옥길동 729-2 ,032-349-5849 
발산마곡점,서울시 강서구 마곡중앙6로 93 열린프라자 1층(마곡동) ,02-2658-5849 
상계역점,서울시 노원구 중계동 144-7 ,02-951-8887 
보람마들점,서울시 노원구 노원로 34길 110(상계동) ,02-935-5849 
도봉구청점,서울시 도봉구 마들로 663(방학동) ,02-956-5880 
수락산점,서울시 노원구 상계동 1120-27 ,02-931-5849 
의왕역점,경기도 의왕시 부곡중앙로17(삼동 192-24) ,031-462-5849 
남양주별내점,경기도 남양주시 별내동 826-7 서울프라자 1층 ,031-572-5849 
수지데이파크점,"경기도 용인시 수지구 성복동 70-1 데이파크C동 126호, 127호  ",031-898-4822 
광주능평점,경기도 광주시 오포읍 능평로 191(능평리) ,031-766-2212 
광교카페거리점,경기도 수원시 영통구 이의동 1317-1 ,031-212-5849 
광주태전점,경기도 광주시 태전동 262-2 ,031-763-0333 
시흥대야점,경기도 시흥시 비둘기공원5길 15 은행프라자 (대야동) ,031-313-5849 
광주경안점,경기도 광주시 경안동 73-55 ,031-761-0588 
수원정자점,경기도 수원시 장안구 정자동 876-1 ,031-269-5889 
수원율전점,경기도 수원시 장안구 율전동 297-2번지 1층 ,031-295-5849 
고양삼송점,경기도 고양시 덕양구 신원동 625번지 ,02-371-1009 
안산반월역점,경기도 안산시 상록구 건건8길 3-4(건건동) ,031-599-3312 
용인구성점,경기도 용인시 기흥구 구성로 71(언남동) ,031-281-5849 
의정부호원점,경기도 의정부시 호원동 454-24 아성빌딩 1층 ,031-876-5849 
시흥장현점,"경기도 시흥시 능곡군자로50, 1층 ",031-8042-5849 
부천상동점,경기도 부천시 상동 535-9 시그마타워 1층 ,032-321-5597 
용인흥덕점,경기도 용인시 기흥구 영덕동 987-5 ,031-213-1544 
수원호매실점,경기도 수원시 권선구 금곡동 1089 건우프라자 103호 ,031-298-5849 
수원인계점,경기도 수원시 팔달구 인계동 1039-15 ,031-234-5849 
의정부회룡점,경기도 의정부시 호원동 312-3 1층 ,031-875-5849 
수원탑동점,경기도  수원시 권선구 탑동 862-1 ,031-296-5889 
안산중앙역점,경기도 안산시 단원구 고잔동 540-5 ,031-485-5849 
김포고촌점,경기도 김포시 고촌읍 장차로 29번지(신곡리 484-2) ,031-987-5849 
안산한대역점,경기도 안산시 상록구 이동 715-9 ,031-407-5849 
서창2지구점,인천광역시 남동구 서창동 706 ,032-466-5849 
안산선부점,"경기도 안산시 단원구 선부광장로27, 114호(선부동) ",031-413-5849 
인천계산점,인천광역시 계양구 계양문화로 54 대산월드프라자 1층(계산동) ,032-544-8882 
용인강남대점,경기도 용인시 기흥구 강남로8 ,031-283-9991 
용인동백점,"경기도 용인시 기흥구 중동 829 골드프라자 C동 118호, 119호 ",031-283-5849 
인천만수점,인천광역시 남동구 하촌로71번길 9(만수동) ,032-469-4095 
안산본오점,경기도 안산시 상록구 샘골로 124(본오동) ,031-408-5849 
안산고잔와동점,안산시 단원구 고잔동 622-17 1층 / 보화로 9 ,031-403-5849 
의정부신시가지점,경기도 의정부시 의정부2동 511 ,031-837-0022 
남양주오남점,경기도 남양주시 오남읍 진건오남로 778 선일프라자(오남리 761-27) ,031-527-4875 
의정부민락점,경기도 의정부시 오목로 225번길 30(민락동) ,031-852-5848 
수원신동점,경기도 수원시 영통구 권선로908번길 22(신동) ,031-206-5849 
광주초월역점,경기도 광주시 초월읍 쌍동리 199-1번지 ,031-765-5848 
인천간석점,인천시 남동구 간석3동 921-14 ,032-472-5849 
용인보라점,"경기도 용인시 기흥구 한보라2로 11, 101호(보라동 579-3) ",031-282-5849 
일산식사지구점,경기도 고양시 일산동구 위시티2로 11번길 45(식사동) ,031-967-9595 
안산초지점,경기도 안산시 단원구 초지동로 45(초지동) ,031-487-5849 
안산신길점,경기도 안산시 단원구 신길동 1647번지 ,031-494-5849 
수원곡반점,경기도 수원시 권선구 곡반정동 557-12 ,031-223-5849 
의정부금오점,경기도 의정부시 금오동 473-4 ,031-853-5849 
신영통점,경기도 화성시 반월동 869 현대프라자 126호 ,031-203-7997 
인천논현점,인천광역시 남동구 논현동 622-4 ,032-424-5849 
남양주진접점,경기도 남양주시 진접읍 해밀예당3로134 1층 진접플라자(금곡리) ,031-559-8254 
의정부녹양점,경기도 의정부시 녹양동 진등로 14(녹양동) ,031-877-5849 
일산라페스타점,경기 고양시 일산동구 무궁화로 43-15(장항동) ,031-911-7775 
김포풍무점,경기도 김포시 풍무로 133번지(풍무동) ,031-998-3998 
용인둔전점,경기도 용인시 처인구 포곡읍 포곡로 108번길 6(둔전리 151-8) ,031-335-5849 
남양주마석점,경기도 남양주시 화도읍 마석로 112(마석우리) ,031-559-5849 
시흥시화점,경기도 시흥시 중심상가로332 1층(정왕동) ,031-499-5849 
화성봉담2지구점,경기도 화성시 봉담읍 장등1길 3-17 ,070-7808-6640 
병점점,경기도 화성시 진안동 874-3 ,031-898-9255 
시흥정왕점,경기도 시흥시 정왕동 1858-7 ,031-434-5849 
수원대점,경기도 화성시 봉담읍 와우리 38-1 ,031-222-7877 
동탄대로점,경기도 화성시 동탄대로 14길 5-42(오산동) ,031-376-5845 
동탄점,경기도 화성시 동탄중심상가2길 26-31(반송동) ,031-8015-4450 
용인김량장점,경기도 용인시 처인구 김량장동 133-69 ,031-339-5849 
동탄2신도시점,경기도 화성시 지산2길 7(영천동) ,031-373-4858 
동탄산척점,경기도 화성시 동탄산척로2나길 4-12 ,031-377-5874 
인천청라점,인천시 서구 연희동 799-16 청라매그놀리아오피스텔 B01 ,032-266-6689 
양주고읍점,경기도 양주시 광사동 652-1 오션타워1층  ,031-841-5849 
인하대역점,인천광역시 미추홀구 용현동 286-4 인하아티스타 1층 ,032-873-5849 
김포운양점,경기도 김포시 김포한강 11로 310(운양동 리엔포레1차 상가)(운양동) ,031-986-5849 
오산금암점,경기도 오산시 금암동 500-2 ,031-376-5849 
검단사거리점,인천광역시 서구 검단로 459번길 3-1 1층(왕길동) ,032-561-0224 
동탄목동점,경기도 화성시 왕배산2길 4-21(목동) ,031-374-5949 
김포장기점,경기도 김포시 김포한강1로78번길 31-7(장기동) ,031-985-5849 
운정신도시점,경기도 파주시 와동동 1564-6 ,031-957-9577 
옥정신도시점,"경기도 양주시 옥정동 963-15 양주M타워(1층120,121호) ",031-867-5849 
남동탄점,경기도 화성시 경기동로 317번 가길 4-2(장지동) ,031-377-2932 
용인천리점,경기도 용인시 처인구 이동면 백옥대로 630 (천리) ,031-332-5665 
화성남양점,경기도 화성시 남양읍 남양리 2061-1 ,031-356-0608 
파주금촌점,경기도 파주시 금촌동 944-3번지 인오빌딩 1층 ,031-943-5849 
양주고암점,경기도 양주시 고암동 159-1 ,031-864-5849 
오산궐동점,경기도 오산시 궐동 699-2 ,031-378-6442~3 
오산원동점,경기도 오산시 원동 813-6 ,031-372-0455 
김포구래점,"경기도 김포시 김포한강9로75번길 190, 107호 ",031-988-3337 
오산갈곶점,경기도 오산시 갈곶동 162-4 ,031-378-2558 
화성향남점,경기도 화성시 향남읍 행정리 506-12 ,031-366-5945 
이천송정점,경기도 이천시 송정동 82 ,031-633-4849 
화성향남2지구점,경기 화성시 향남읍 하길리 1465-4 에코프라자110호(향남읍) ,031-366-5884 
이천점,경기도 이천시 창전동 160-35 ,031-638-5849 
동두천,경기도 동두천시 지행동 695-1 ,031-858-5849 
이천증포점,경기도 이천시 갈산동 550번지 ,031-636-5849 
평택독곡점,경기 평택시 지산3로 65-5 (독곡동) ,031-666-5155 
파주문산당동점,경기도 파주시 문산읍 방촌로 1719-62 ,031-952-5849 
포천점,지번경기 포천시 신읍동 46-28 ,031-533-2336 
인천영종도점,인천광역시 중구 신도시남로142번길 11-6(운서동) ,032-751-4982 
송탄점,경기도 평택시 서정동 815-12 ,031-663-5849 
이천하이닉스점,경기도 이천시 부발읍 아미리 737-13 ,031-637-5849 
평택고덕점,경기도 평택시 고덕면 고덕여염 12길 82 ,031-611-8177 
강화길상점,인천광역시 강화군 길상면 온수리 551-2 ,032-937-5848 
평택법원점,경기도 평택시 동삭동 661-2 1층 ,031-654-6647 
평택청북점,경기도 평택시 청북면 옥길리 1161-5 ,031-682-5849 
평택배다리점,경기도 평택시 비전동 1098-1 희성프라자 1층 ,031-651-6647 
평택소사벌점,경기도 평택시 비전동 1070 ,031-655-5805 
평택역점,경기도 평택시 평택동 286-7 ,031-655-5596 
평택용이점,경기도 평택시 용이동 464-2 ,031-656-5849 
안성공도점,경기도 안성시 공도읍 공도2로 7(만정리) ,031-658-0008 
안성한경대점,경기도 안성시 금산동 193-3 ,031-672-7773 
평택안중점,경기도 평택시 안중로18번길 3 ,031-686-7997 
여주점,경기도 여주시 세종로 85번지 (홍문동 274-6) ,031-886-5849 
평택포승점,경기도 평택시 포승읍 도곡리 1150-10 ,031-684-0002 
안성아양점,경기도 안성시 아양2로 87(석정동) ,031-677-9026 
평택팽성점,경기도 평택시 팽성읍 송화리 776-2 ,031-651-7574 
아산둔포점,충남 아산시 둔포면 둔포리 381번지 ,041-542-5849 
당진송악점,충남 당진시 송악읍 복운리 1651-10 ,041-354-5050 
천안성환점,충남 천안시 서북구 성환읍 매주리 317-2 ,041-588-5849 
당진송산점,충남 당진시 송산면 서정4길 22(유곡리) ,041-357-5849 
천안직산점,충남 천안시 서북구 직산읍 삼은리 300 ,041-584-5849 
천안성거점,충남 천안시 서북구 성거읍 성거길 123 대주프라자 1층(저리 66-2) ,041-621-8003 
천안차암점,충남 천안시 서북구 차암동 493번지 ,041-555-5849 
당진기지시점,충남 당진시 시곡동 반촌로 27-17 ,041-355-4686 
천안두정점,충남 천안시 서북구 두정동 891 ,041-557-5849 
천안메가박스점,천안시 서북구 1공단 1길52(두정동) ,041-564-8020 
음성금왕점,충북 음성군 금왕읍 무극리 588-7 ,043-882-5849 
천안백석점,충남 천안시 서북구 백석동 1160번지 ,041-565-5849 
춘천거두리점,강원도 춘천시 동내면 거두리 926-4 ,033-262-5849 
당진점(CGV점),충남 당진시 읍내동 1493 ,041-357-7277 
천안성정점,충남 천안시 서북구 성정동 855 ,041-572-8797 
천안신부점,충남 천안시 동남구 터미널8길 17(신부동) ,041-561-5849 
원주기업도시점,강원도 원주시 지정면 신지정로 153-12 1층(가곡리) ,033-747-5849 
천안불당점,충남 천안시 불당동 705번지 ,041-622-5849 
춘천후평점,강원도 춘천시 후석로 278(후평동) ,033-252-7849 
천안쌍용점,충남 천안시 서북구 쌍용동 987번지  ,041-579-8598 
세종도담점,세종시 보듬3로 8-29 해피라움 6차 104호(도담동 677) ,044-867-5849 
아산신창점,충남 아산시 신창면 남성리 213-1 ,041-546-5533 
천안구성점,충남 천안시 동남구 청수동 216-102 ,041-568-5655 
천안아산역점,충남 아산시 배방읍 장재리 1530(용연로) ,041-532-0900 
아산시청점,충남 아산시 번영로 82(온천동) ,041-534-3281 
천안신방점,충남 천안시 동남구 신방동 71-8 ,041-577-5849 
충북혁신도시점,충북 음성군 맹동면 두성리 1260 ,043-877-1260 
아산모종점,충남 아산시 모종동 717번지 ,041-545-5849 
천안청수점,충남 천안시 동남구 청당동 597 ,041-554-5849 
아산용화점,충남 아산시 용화동 1246 ,041-548-5849 
충북진천점,충북 진천군 교성리 31-3 ,043-534-5849 
아산배방점,"충남 아산시 배방읍 배방로 35-2 D동 1,2호 (공수리151-51) ",041-544-5849 
아산월천신도시점,충남 아산시 배방읍 월천2길 8-20 한영빌딩102호(복수리) ,041-532-3281 
원주단계점,강원도 원주시 단계동 841-1 ,033-746-0102 
천안목천점,충청남도 천안시 동남구 목천읍 신계리 129 가동 1층 ,041-523-5849 
원주혁신점,강원도 원주시 혁신로 35 ,033-745-5849 
충주기업도시점,충북 충주시 중앙탑면 원앙5길 8(용전리) ,043-852-5849 
서산테크노밸리점,충남 서산시 성연3로 111(오사리) ,041-669-5522 
충남예산점,충남 예산군 예산읍 산성리 708 ,041-332-4626 
충북증평점,충북 증평군 증평읍 초중1길 30 (초중리 535-1) ,043-838-3890 
충북오창점,충청북도 청원군 오창읍 각리 651-5 ,043-217-5849 
서산동문점,충남 서산시 동문동 194-3 ,041-668-3338 
서산예천점,충남 서산지 예천동 1301-1번지 ,041-681-5849 
충주연수점,충북 충주시 연수동 1477 ,043-855-5849 
내포신도시점,충남 홍성군 홍북면 신경리 580 에이원프라자 1층 106호 ,041-632-5849 
청주오송점,충북 청주시 흥덕구 오송읍 만수리 525 거송빌딩 1층 ,043-237-5849 
청주테크노점,충정북도 청주시 송화로 166번길 7-3(송절동) ,043-267-5849 
충주용산점,충북 충주시 남산로 80(용산동) ,043-856-5849 
청주율량점,충북 청주시 청원구 주성동 348 ,043-212-5849 
지웰시티점,충북 청주시 흥덕구 복대동 292-17번지 1층 103호 ,043-266-7799 
세종조치원점,세종시 조치원읍 침산리 262-12 ,044-865-1177 
충남태안점,"충남 태안군 태안읍 동문1길, 50 민중빌딩1층(동문리 880-2) ",041-675-0666 
청주가경점,충북 청주시 흥덕구 강서로 108 ,043-237-2003 
청주북문로점,충북 청주시 상당구 북문로2가 59-6 (중앙로) ,043-221-5849 
청주금천광장점,충북 청주시 상당구 산성로 104번길 21(용담동) ,043-288-5849 
홍성법원점,충남 홍성군 월산로50번길 15 103호(월산리) ,041-633-5849 
청주산남점,충북 청주시 서원구 산남동 588 ,043-221-7740 
청주동남신도시점,충북 청주시 상당구 중고개로125번길 15(용암동) ,043-292-8989 
청주용암점,충북 청주시 상당구 1순환로 1253번길 34(용암동) ,043-283-5849 
세종고운점,세종시 마음로 240(고운동) ,044-864-4424 
제천청전점,충북 제천시 청전동 497-72 ,043-643-1883 
제천장락점,충북 제천시 장락동 552-9 ,043-642-1884 
세종나성점,세종시 나성로 133-15 애플타워 1층(나성동) ,044-868-5849 
공주점,충남 공주시 신관동 655-9 ,041-852-8800 
세종보람점,세종시 한누리대로 2149 엔젤타워 1층(보람동) ,044-865-5849 
충남청양점,충남 청양군 청양읍 칠갑산로8길 9(읍내리) ,041-944-0057 
신탄진점,대전광역시 대덕구 석봉동 316-12 ,042-936-5849 
대전대덕테크노밸리점,대전광역시 유성구 관들2길 72-11(관평동) ,042-935-5849 
대전유성점,대전시 유성구 봉명동 445-4 리베라 아이누리5차 1층 ,042-824-5849 
대전송촌점,대전광역시 대덕구 송촌동 465-8 ,042-622-4849 
보령동대동점,충남 보령시 동대동 476-23 ,041-932-5849 
계룡엄사점,충청남도 계룡시 엄사면 엄사리 번영로88(엄사리) ,042-551-5849 
부여점,충남 부여군 부여읍 부장대로 49 (구아리 176-8) ,041-837-4477 
대전관저점,"대전광역시 서구 관저동 1531번지 107호,108호 ",042-545-5849 
대천해수욕장점,충남 보령시 해수욕장8길 70 파레브호텔 1층(신흑동) ,041-936-6100 
충북옥천점,충북 옥천군 옥천읍 중앙로10길 5 ,043-733-7882 
문경점촌점,경상북도 문경시 매봉로 64(모전동) ,054-554-5849 
논산점,충남 논산시 강산동 561번지 ,041-734-7990 
경북상주점,경북 상주시 무양동 281-1번지 ,054-536-5849 
속초교동점,강원도 속초시 미시령로 3389번길3(교동) ,033-637-7942 
속초조양점,"강원도 속초시 청대로 40, KCC스위첸 상가 1층(조양동) ",033-638-7942 
강원토성점,강원도 고성군 토성면 토성로 131 ,033-631-1441 
충남서천점,충남 서천군 서천읍 사곡로 50(사곡리) ,041-953-5849 
경북영주점,경북 영주시 휴천동 303-15 ,054-635-5849 
충북영동점,충청북도 영동군 영동읍 계산리 687-22 ,043-745-5849 
강릉홍제점,강원도 강릉시 선수촌로 79-15 (홍제동) ,033-648-9555 
안동경북도청점,경북 예천군 호명면 산합리 1428번지 1층 ,054-655-5849 
익산영등점,전라북도 익산시 영등동 843-3 ,063-833-5849 
군산조촌점,전북 군산시 조촌동 2-21 세종빌딩 1층 ,063-443-5849 
완주봉동점,전북 완주군 봉동읍 둔산리 900-9 ,063-262-5849 
익산모현점,전북 익산시 모현동1가  849 ,063-854-5849 
군산수송점,전라북도 군산시 수송동 832-2 ,063-462-5849 
군산소룡점,전북 군산시 칠성로 168(소룡동) ,063-465-8898 
군산나운점,전북 군산시 나운동 481-10 ,063-468-5849 
군산미장점,전북 군산시 미장10길 2(미장동) ,063-451-0508 
익산동산점,전북 익산시 동산동 1054-1 ,063-855-5849 
경북김천점,경북 김천시 신음동 988-4 ,054-434-5849 
전주동산반월점,전북 전주시 덕진구 편운로 26(여의동2가 573-7) ,063-213-5849 
전주에코시티점,전북 전주시 덕진구 송천동2가 1327-8 리빛타워 1층(세병2길) ,063-272-5849 
안동옥동점,경북 안동시 옥동 787-15 ,054-853-5849 
전주호성점,전북 전주시 덕진구 호성1길 6(우아동3가 594-32) ,063-247-5849 
전북대점,전북 전주시 덕진구 권삼득로 343(덕진동) ,063-278-5849 
전주만성점,전북 전주시 덕진구 만성동 1372-2번지 ,063-211-5849 
전주서신점,전북 전주시 완산구 서신동 고사평5길 3 ,063-252-5849 
전주아중점,전라북도 전주시 덕진구 건산로 265 ,063-246-5849 
안동용상점,경상북도 안동시 경동로 932(용상동) ,054-823-5849 
전주노송점,전라북도 전주시 덕진구 아중로 134-1(인후동) ,063-242-5849 
전주객사점,"전라북도 전주시 완산구 전주객사3길 94, 1층 ",063-231-5849 
전주혁신점,전북 전주시 완산구 중동 779-7 ,063-224-5849 
전주도청점,전북 전주시 완산구 효자동3가 1538-4 ,063-226-5849 
전주중화산점,전북 전주시 완산구 중화산동 2가 103-7 ,063-227-5848 
김제점,전북 김제시 검산동 1059-7 ,063-544-5849 
구미봉곡점,경북 구미시 봉곡동 441-3 ,054-444-5849 
전주삼천점,전북 전주시 완산구 효자동1가 669-9 ,063-228-5849 
구미문성점,경상북도 구미시 고아읍 문성리 1282-1 1층 ,054-454-0030 
전주평화점, 전북 전주시 완산구 평화동 1가 730-2 ,063-237-5849 
구미형곡점,경북 구미시 형곡동 194-10 ,054-453-7887 
구미신평점,경북 구미시 구미대로 382(신평동) ,054-461-5849 
구미산동점,경북 구미시 산동면 신당리 1421번지 ,054-473-5849 
구미옥계점,경북 구미시 옥계동 844-2 ,054-474-5849 
경북의성점,경상북도 의성군 의성읍 문소3길 21 ,054-832-1255 
구미상모점,경북 구미시 상모동 32-1 ,054-465-5849 
구미인동점,경북 구미시 인의동 836-1 ,054-476-0059 
전북부안점,전북 부안군 부안읍 봉덕리 835 ,063-583-5849 
칠곡석적점,경북 칠곡군 석적읍 중리 200-7(북중리10길 2) ,054-971-5849 
칠곡석적남율점,경북 칠곡군 석적읍 남율리 1105번지 ,054-975-5849 
경북영양점,경북 영양군 영양읍 서부리 150-11(시장길) ,054-682-3500 
정읍점,전북 정읍시 수성동 937-2 ,063-535-5849 
대구연경점,대구광역시 북구 연경중앙로3길23 103호 (연경동) ,053-983-0700 
다사죽곡점,경북 대구시 달성군 다사읍 매곡리 1547번지 ,053-585-5849 
대구성서점,대구광역시 달서구 이곡동 1316-17 ,053-555-7666 
대구침산점,대구광역시 북구 침산동 329-2 1층 ,053-351-7090 
대구복현점,대구시 북구 복현2동 200-5 ,053-952-7888 
대구광장코아점,대구시 달서구 달구벌대로 1706(두류동) ,053-655-5849 
대구장기점,대구광역시 달서구 장기동 820-11 ,053-525-5849 
대구종로점,대구시 중구 종로2가 24번지 ,053-256-5849 
대구월성점,"대구광역시 달서구 조암로32, 111호(월성동) ",053-636-5849 
대구화원점,대구광역시 달성군 화원읍 명곡리 269-2 ,053-636-2014 
전북고창점,전남 고창읍 교촌리 403(월곡로69) ,063-561-5859 
동대구역점,대구광역시 동구 동부로22길 43(신천동 323-3) ,053-744-5849 
대구안지랑점,대구시 남구 대명9동 813-2 ,053-623-5849 
대구수성점,대구시 수성구 수성동4가 1023-2 ,053-755-0909 
대구수성못점,"대구시 수성구 무학로 23길 59, 1층(두산동) ",053-767-1888 
남원점,전북 남원시 큰들2길 11-1(도통동) ,063-633-2400 
대구신서혁신점,대구광역시 동구 신서동 1188 ,053-964-5885 
대구현풍점,"대구광역시 달성군 유가면 테크노상업로 4길 12, 102호(봉리) ",053-615-9893 
경산점,경상북도 경산시 옥산동 741-12 ,053-811-8892 
경북영천점,경북 영천시 망정1길 200(망정동) ,054-333-5849 
경주안강점,경북 경주시 안강읍 안강중앙로 154(산대리 ) ,054-762-9997 
포항흥해점,경북 포항시 북구 흥해읍 남성리 327-3 ,054-261-5849 
포항양덕점,경북 포항시 북구 양덕동 1413번지 ,054-252-8894 
광주금호역점,광주광역시 서구 금호동 757-8 ,062-373-0035 
포항효자점,경북 포항시 남구 효자동 569-8번지 ,054-283-3500 
포항쌍사점,경북 포항시 남구 상도동 632-10 ,054-281-1116 
경주시청점,경북 경주시 동천동 769-3 ,054-777-5849 
포항문덕점,경북 포항시 남구 오천읍 원리 1081-4 ,054-293-5844 
진주평안점,경남 진주시 평안동 132번지 ,055-748-6400 
진주하대점,경남 진주시 하대동 304-29 ,055-759-5845 
진주평거점,경상남도 진주시 평거동 781-5 ,055-741-5846 
진주충무공점,경상남도 진주시 범골로37번길 33-1 ,055-757-0500 
진주호탄점,경상남도 진주시 가호로 48 ,055-761-7989 
전남무안점,전남 무안읍 무안읍 불무로 42(교촌리) ,061-454-5849 
경남사천점,경남 사천시 사천읍 평화리 46-6번지 ,055-854-5445 
경주외동점,경북 경주시 외동읍 입실로 107(입실리) , 054-777-4123  
순천오천점,"전남 순천시 오천6길 16, 정원타워 1층(오천동) ",061-741-5849 
순천조례점,전남 순천시 조례동 1698-1 ,061-727-5849 
김해진영점,경남 김해시 장등로19번길 67-1(전영리) ,055-343-5848 
순천신대점,전라남도 순천시 해룡면 매안3길 27 ,061-722-8839 
광양중마점 ,전남 광양시 오류3길 14(중동) ,　 
울산구영리점,울산시 울주군 범서읍 구영리 375-2 ,052-211-5849 
울산매곡점,울산광역시 북구 매곡로 97-1(매곡동) ,052-980-9988 
울산무거점,울산광역시 남구 대학로147번길 48(무거동) ,052-912-0082 
울산유곡점,울산광역시 중구 유곡동 480-6 ,052-246-1200 
울산송정점,울산시 북구 박상진4로 4 1층 ,052-961-5959 
울산태화점,울산광역시 중구 태화강국가정원길 231-7(태화동) ,052-248-5879 
울산병영점,울산광역시 중구 약사동 625-25(곽남길 11) ,052-257-7959 
양산물금점,경남 양산시 물금읍 범어리 2688-15 ,055-386-5849 
양산신도시점,경남 양산시 중부동 691-3 ,055-366-5849 
삼천포점,경남 사천시 벌리동 252-7 ,055-832-9500 
