순위,관광지명,주소,분류,합산 검색 수
73,신창풍차해안도로,제주 제주시,데이트코스,19884
74,박물관은살아있다제주중문점,제주 서귀포시 중문관광로 42-0,전시시설,19062
75,호텔더본제주,제주 서귀포시 색달로 18-0,호텔,18910
76,제주러브랜드휴업중,제주 제주시 1100로 2894-72,기타관광,18878
77,애월항,제주 제주시 애월해안로 0-0,자연경관(하천/해양),18738
78,제주신화월드서머셋,제주 서귀포시 신화역사로304번길 89-0,콘도미니엄,18273
79,신라스테이제주,제주 제주시 노연로 100-0,호텔,18212
80,서귀포칼호텔,제주 서귀포시 칠십리로 242-0,호텔,18134
81,제주공룡랜드,제주 제주시 광령평화2길 1-0,테마공원,17951
82,피규어뮤지엄제주,제주 서귀포시 한창로 243-0,전시시설,17875
83,라마다프라자제주호텔,제주 제주시 탑동로 66-0,호텔,17848
84,세계자동차&피아노박물관,제주 서귀포시 중산간서로 1610-0,전시시설,17793
85,해비치리조트,제주 서귀포시 민속해안로 537-0,콘도미니엄,17635
86,송악산,제주 서귀포시,자연경관(산),17631
87,호텔휘슬락,제주 제주시 서부두2길 26-0,호텔,17528
88,홈플러스서귀포점,제주 서귀포시 중앙로 180-0,대형마트,17473
89,선녀와나무꾼테마공원,제주 제주시 선교로 267-0,도시공원,16664
90,제주항연안여객터미널,제주 제주시 임항로 111-0,교통시설,16576
91,제주민속촌,제주 서귀포시 민속해안로 631-34,역사유적지,16143
92,넥슨컴퓨터박물관,제주 제주시 1100로 3198-8,전시시설,16052
93,제스코마트,제주 제주시 연북로 444-0,대형마트,15860
94,한라수목원,제주 제주시 수목원길 72-0,자연공원,15756
95,제주신화월드랜딩리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,15349
96,브릭캠퍼스제주,제주 제주시 1100로 3047-0,전시시설,15345
97,베스트웨스턴제주호텔,제주 제주시 도령로 27-0,호텔,15318
98,롯데시티호텔제주,제주 제주시 도령로 83-0,호텔,15290
99,라마다제주시티홀호텔,제주 제주시 중앙로 304-0,호텔,15275
100,제주여미지식물원,제주 서귀포시 중문관광로 93-0,테마공원,14800
