TRRSRT_NM,TRRSRT_AREA_NM,TRRSRT_ADRES,TRRSRT_LA_XCRD,TRRSRT_LO_YCRD,TRRSRT_TY_NM,TRRSRT_AMOUNT,USER_AGRDE_CODE,USER_SEXDSTN_CODE,USER_BRTC_CODE,CONECT_DEVICE_NM,REGIST_DT,EVL_SCORE_VALUE
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,MOBILE,2021-05-22 오전 1:58:43,5
제주 스카이워터쇼 (워터서커스),제주시 동부,제주특별자치도 제주시 구좌읍 번영로 2172-80 ,33.4239986,126.7437738,공연/쇼,12000,,3,,MOBILE,2021-05-24 오후 7:12:12,5
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,MOBILE,2021-05-26 오후 12:55:04,5
제주도 원데이 버스투어 동쪽감성코스,,제주특별자치도 제주시 도두항서길 42 2 3층(도두일동),33.5063571,126.4638948,버스/택시관광,32900,,3,,PC,2021-05-28 오전 11:21:34,5
제주시티투어 야간(테마)코스,, ,0,0,버스/택시관광,15000,,3,,MOBILE,2021-05-29 오전 10:45:27,5
본태박물관,중문/서귀포,제주특별자치도 서귀포시 안덕면 산록남로762번길 69 ,33.3057651,126.3888509,전시/박물관,17000,,3,,PC,2021-05-30 오후 11:46:16,5
제주시티투어 야간(테마)코스,, ,0,0,버스/택시관광,15000,,3,,PC,2021-06-04 오전 9:50:43,5
제주시티투어 야간(테마)코스,, ,0,0,버스/택시관광,15000,,3,,MOBILE,2021-06-06 오전 9:39:22,5
[OK마사지]전신 안마 + 디톡스 족욕,제주 시내권,제주특별자치도 제주시 노연로 114-1 3층 ,33.4855847,126.492429,뷰티/테라피,39000,,3,,MOBILE,2021-06-11 오전 9:23:35,5
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,PC,2021-06-11 오후 3:54:43,5
제주시티투어 야간(테마)코스,, ,0,0,버스/택시관광,15000,,3,,MOBILE,2021-06-12 오전 10:20:05,5
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,MOBILE,2021-06-14 오후 6:03:25,1
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,MOBILE,2021-06-17 오후 8:54:34,5
[이벤트]카멜리아힐 1+1,서귀포 서부,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,33.2901402,126.3683652,테마공원,6500,,3,,MOBILE,2021-06-17 오후 10:25:51,5
제주시티투어 야간(테마)코스,, ,0,0,버스/택시관광,15000,,3,,PC,2021-06-18 오전 9:46:28,5
제주시티투어 야간(테마)코스,, ,0,0,버스/택시관광,15000,,3,,PC,2021-06-20 오후 12:29:38,5
제주시티투어 야간(테마)코스,, ,0,0,버스/택시관광,15000,,3,,MOBILE,2021-06-26 오후 12:02:54,5
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,PC,2021-06-27 오후 9:11:32,4
행복공방 도자기 체험 카페,중문/서귀포,제주특별자치도 서귀포시 중산간서로 188 농업기술원 옆,33.2603977,126.4915207,제주마을체험,22500,,3,,PC,2021-07-01 오후 4:38:14,5
세리월드-세리카트,중문/서귀포,제주특별자치도 서귀포시 법환상로2번길 97-13 ,33.2473366,126.5126537,스포츠/레저,12500,,3,,PC,2021-07-02 오전 9:04:31,5
헬로키티아일랜드,중문/서귀포,제주특별자치도 서귀포시 안덕면 상창리 1963-2 ,33.2901502,126.3522035,전시/박물관,12500,,3,,PC,2021-07-02 오전 9:27:53,5
헬로키티아일랜드,중문/서귀포,제주특별자치도 서귀포시 안덕면 상창리 1963-2 ,33.2901502,126.3522035,전시/박물관,12500,,3,,PC,2021-07-02 오전 9:28:02,5
제주 올레냉면(노형점) 식사권,제주 시내권,제주특별자치도 제주시 광평동로 19 1층,33.4819175,126.4703988,맛집,14300,,3,,PC,2021-07-06 오후 4:15:05,5
[붕붕] 브라이텍스갤럭시2 isofix,제주 시내권,제주특별자치도 제주시 용해로 129 A동 104호(용담이동 상고지빌라),33.5063686,126.50617,유모차/카시트,7000,,3,,PC,2021-07-07 오후 3:32:07,5
제주시티투어 야간(테마)코스,, ,0,0,버스/택시관광,15000,,3,,MOBILE,2021-07-08 오후 11:44:11,5
제이엠 그랑블루요트-선셋투어(18시 출항),중문/서귀포,제주특별자치도 서귀포시 대포로 174 ,33.2387544,126.4396458,해양관광,52000,,3,,PC,2021-07-09 오전 10:59:39,5
제주 스카이워터쇼 (워터서커스),제주시 동부,제주특별자치도 제주시 구좌읍 번영로 2172-80 ,33.4239986,126.7437738,공연/쇼,12000,,3,,MOBILE,2021-07-14 오후 11:09:11,5
제주 화조원 입장권,제주시 서부,제주특별자치도 제주시 애월읍 애원로 804 제주 화조원,33.4113071,126.372005,테마공원,14400,,3,,MOBILE,2021-07-15 오후 6:35:20,5
제주시티투어 야간(테마)코스,, ,0,0,버스/택시관광,15000,,3,,MOBILE,2021-07-19 오후 9:10:30,5
제주시티투어 야간(테마)코스,, ,0,0,버스/택시관광,15000,,3,,MOBILE,2021-07-21 오전 10:12:48,5
제주시티투어 야간(테마)코스,, ,0,0,버스/택시관광,15000,,3,,MOBILE,2021-07-21 오전 10:12:52,5
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,MOBILE,2021-07-22 오전 11:59:56,2
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,MOBILE,2021-07-22 오후 9:03:12,3
제주시티투어 야간(테마)코스,, ,0,0,버스/택시관광,15000,,3,,PC,2021-07-23 오전 11:10:45,5
메종글래드호텔 삼다정 뷔페,제주 시내권,제주특별자치도 제주시 노연로 80 메종글래드 제주호텔,33.4850872,126.4883524,맛집,39200,,3,,PC,2021-07-23 오후 2:46:27,4
흑돼지돈까스 뷔페 밀라네사,제주 시내권,제주특별자치도 제주시 도련일동 1751-7 URBANE 건물 1층,33.5099181,126.5904997,맛집,13900,,3,,PC,2021-07-23 오후 2:52:56,3
제주민속촌,서귀포 동부,제주특별자치도 서귀포시 표선면 민속해안로 631-34 ,33.3245597,126.8421344,테마공원,8800,,3,,PC,2021-07-23 오후 2:55:48,3
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,PC,2021-07-26 오후 1:03:19,5
카멜리아힐,서귀포 서부,제주특별자치도 서귀포시 안덕면 병악로 166 ,33.2900444,126.368349,테마공원,6500,,3,,MOBILE,2021-07-26 오후 10:53:28,5
미도식당 옥돔구이 정식 외,중문/서귀포,제주특별자치도 서귀포시 안덕면 사계남로216번길 11 미도식당,33.232648,126.309429,맛집,15000,,3,,MOBILE,2021-07-27 오전 3:31:14,5
덤장 중문본점 식사권,중문/서귀포,제주특별자치도 서귀포시 색달동 2119 ,33.2576625,126.4082795,맛집,45000,,3,,PC,2021-07-30 오전 11:06:47,5
제주 올레냉면(노형점) 식사권,제주 시내권,제주특별자치도 제주시 광평동로 19 1층,33.4819175,126.4703988,맛집,14300,,3,,PC,2021-07-30 오전 11:08:53,5
제주 올레냉면(노형점) 식사권,제주 시내권,제주특별자치도 제주시 광평동로 19 1층,33.4819175,126.4703988,맛집,14300,,3,,PC,2021-07-30 오전 11:10:36,5
[붕붕] 브라이텍스갤럭시2 isofix,제주 시내권,제주특별자치도 제주시 용해로 129 A동 104호(용담이동 상고지빌라),33.5063686,126.50617,유모차/카시트,7000,,3,,PC,2021-08-04 오후 11:02:29,5
[붕붕] 브라이텍스갤럭시2 isofix,제주 시내권,제주특별자치도 제주시 용해로 129 A동 104호(용담이동 상고지빌라),33.5063686,126.50617,유모차/카시트,7000,,3,,PC,2021-08-04 오후 11:02:48,5
[붕붕] 브라이텍스갤럭시2 isofix,제주 시내권,제주특별자치도 제주시 용해로 129 A동 104호(용담이동 상고지빌라),33.5063686,126.50617,유모차/카시트,7000,,3,,PC,2021-08-04 오후 11:03:01,5
제주 스카이워터쇼 (워터서커스),제주시 동부,제주특별자치도 제주시 구좌읍 번영로 2172-80 ,33.4239986,126.7437738,공연/쇼,12000,,3,,PC,2021-08-06 오전 11:34:48,4
흑돼지 근고기 2인 식사권,제주 시내권,제주특별자치도 제주시 우평로 38 생돈우리,33.4798645,126.4617912,맛집,48600,,3,,MOBILE,2021-08-09 오전 10:22:03,5
제주제트-파라세일링,중문/서귀포,제주특별자치도 서귀포시 대포로 172-5 ,33.2384231,126.439452,해양관광,54000,,3,,PC,2021-08-09 오후 1:11:29,5
갈치공장,제주시 동부,제주특별자치도 제주시 구좌읍 해맞이해안로 1296 ,33.5319056,126.8509611,맛집,30000,,3,,MOBILE,2021-08-10 오전 7:25:19,5
제주도 원데이 버스투어 서쪽감성코스,,제주특별자치도 제주시 도두항서길 42 2 3층(도두일동),33.5063571,126.4638948,버스/택시관광,27900,,3,,MOBILE,2021-08-13 오전 11:55:44,5
브릭캠퍼스 입장권,제주 시내권,제주특별자치도 제주시 1100로 3047 브릭캠퍼스,33.458546,126.48529,전시/박물관,13500,,3,,MOBILE,2021-08-13 오후 6:34:47,5
메종글래드호텔 삼다정 뷔페,제주 시내권,제주특별자치도 제주시 노연로 80 메종글래드 제주호텔,33.4850872,126.4883524,맛집,39200,,3,,MOBILE,2021-08-14 오전 10:27:00,4
브릭캠퍼스 입장권,제주 시내권,제주특별자치도 제주시 1100로 3047 브릭캠퍼스,33.458546,126.48529,전시/박물관,13500,,3,,PC,2021-08-15 오후 2:26:44,5
윈드1947 카트 테마파크,중문/서귀포,제주특별자치도 서귀포시 토평공단로 78-27 ,33.2895195,126.5888268,스포츠/레저,21000,,3,,PC,2021-08-15 오후 2:28:11,5
제주레일파크㈜ - 레일바이크(2인승),제주시 동부,제주특별자치도 제주시 구좌읍 종달리 4639 ,33.4646743,126.8369662,스포츠/레저,23000,,3,,PC,2021-08-20 오후 2:53:53,5
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,MOBILE,2021-08-21 오전 9:07:38,5
제주 스카이워터쇼 (워터서커스),제주시 동부,제주특별자치도 제주시 구좌읍 번영로 2172-80 ,33.4239986,126.7437738,공연/쇼,12000,,3,,PC,2021-08-21 오후 12:13:48,5
본태박물관,중문/서귀포,제주특별자치도 서귀포시 안덕면 산록남로762번길 69 ,33.3057651,126.3888509,전시/박물관,17000,,3,,MOBILE,2021-08-23 오후 9:28:28,5
메종글래드호텔 삼다정 뷔페,제주 시내권,제주특별자치도 제주시 노연로 80 메종글래드 제주호텔,33.4850872,126.4883524,맛집,39200,,3,,MOBILE,2021-08-23 오후 9:31:52,5
아쿠아플라넷-풀패키지권,서귀포 동부,제주특별자치도 서귀포시 성산읍 섭지코지로 95 아쿠아플라넷 제주,33.4329769,126.9277955,테마공원,31000,,3,,PC,2021-08-27 오후 2:47:22,5
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,MOBILE,2021-08-29 오후 10:24:47,5
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,MOBILE,2021-08-29 오후 10:25:14,5
아쿠아플라넷-AQ패키지권,서귀포 동부,제주특별자치도 서귀포시 성산읍 섭지코지로 95 아쿠아플라넷 제주,33.4329769,126.9277955,테마공원,28900,,3,,PC,2021-08-30 오후 1:43:47,5
마구이양구이 - A코스 (말고기 전문점),제주 시내권,제주특별자치도 제주시 월랑로2길 18 ,33.4875491,126.4808295,맛집,28000,,3,,MOBILE,2021-08-31 오후 2:47:28,1
미도식당 옥돔구이 정식 외,중문/서귀포,제주특별자치도 서귀포시 안덕면 사계남로216번길 11 미도식당,33.232648,126.309429,맛집,15000,,3,,MOBILE,2021-08-31 오후 2:53:33,4
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,MOBILE,2021-08-31 오후 5:39:13,5
브릭캠퍼스 입장권,제주 시내권,제주특별자치도 제주시 1100로 3047 브릭캠퍼스,33.458546,126.48529,전시/박물관,13500,,3,,MOBILE,2021-08-31 오후 9:06:20,5
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,MOBILE,2021-09-01 오전 10:01:38,5
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,MOBILE,2021-09-01 오전 10:02:26,5
메종글래드호텔 삼다정 뷔페,제주 시내권,제주특별자치도 제주시 노연로 80 메종글래드 제주호텔,33.4850872,126.4883524,맛집,40740,,3,,MOBILE,2021-09-03 오전 10:21:05,4
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,MOBILE,2021-09-03 오전 10:28:31,3
제주도 원데이 버스투어 동쪽감성코스,,제주특별자치도 제주시 도두항서길 42 2 3층(도두일동),33.5063571,126.4638948,버스/택시관광,32900,,3,,MOBILE,2021-09-03 오전 10:40:47,5
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,MOBILE,2021-09-04 오전 1:48:40,5
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,MOBILE,2021-09-06 오전 11:09:19,5
흑돼지돈까스 뷔페 밀라네사,제주 시내권,제주특별자치도 제주시 도련일동 1751-7 URBANE 건물 1층,33.5099181,126.5904997,맛집,13900,,3,,MOBILE,2021-09-10 오후 12:46:15,5
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,MOBILE,2021-09-12 오후 11:37:23,5
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,PC,2021-09-17 오후 3:54:34,5
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,MOBILE,2021-09-18 오후 1:13:36,5
상효원,중문/서귀포,제주특별자치도 서귀포시 산록남로 2847-37 ,33.3072182,126.5860938,테마공원,8000,,3,,PC,2021-09-19 오전 7:52:00,5
상효원,중문/서귀포,제주특별자치도 서귀포시 산록남로 2847-37 ,33.3072182,126.5860938,테마공원,8000,,3,,PC,2021-09-19 오전 7:52:03,5
제주 스카이워터쇼 (워터서커스),제주시 동부,제주특별자치도 제주시 구좌읍 번영로 2172-80 ,33.4239986,126.7437738,공연/쇼,12000,,3,,MOBILE,2021-09-26 오후 2:22:30,5
메종글래드호텔 삼다정 뷔페,제주 시내권,제주특별자치도 제주시 노연로 80 메종글래드 제주호텔,33.4850872,126.4883524,맛집,40740,,3,,PC,2021-09-27 오전 10:21:51,5
흑돼지돈까스 뷔페 밀라네사,제주 시내권,제주특별자치도 제주시 도련일동 1751-7 URBANE 건물 1층,33.5099181,126.5904997,맛집,13900,,3,,MOBILE,2021-09-27 오후 2:02:35,5
제주시티투어 야간(테마)코스,, ,0,0,버스/택시관광,15000,,3,,MOBILE,2021-09-27 오후 3:51:14,5
제주시티투어(1회·1일 이용권),,제주특별자치도 제주시 선덕로 23 ,33.4862179,126.4994025,버스/택시관광,2000,,3,,MOBILE,2021-09-29 오전 8:02:36,5
